fact_id,product_id,time_id,price,original_price,discount_percentage,availability,stock_level,rating,review_count,sales_velocity,is_trending
148,2,58,60.18,60.18,0.0,Low Stock,3,3.91,844,62.76,False
149,2,59,70.33,70.33,0.0,In Stock,339,3.63,7642,76.85,False
150,2,60,64.59,64.59,0.0,Low Stock,19,3.66,1540,38.06,False
151,2,61,53.73,67.19,20.04,In Stock,402,3.64,270,47.03,True
152,2,62,76.14,76.14,0.0,In Stock,292,4.11,2791,86.19,False
153,2,63,70.19,70.19,0.0,Low Stock,2,4.15,184,129.06,False
154,2,64,58.73,58.73,0.0,Low Stock,11,4.05,2543,65.35,False
155,2,65,66.02,66.02,0.0,In Stock,247,4.06,903,113.94,False
156,2,66,61.15,61.15,0.0,In Stock,372,3.84,4808,19.67,False
157,2,67,71.06,71.06,0.0,Low Stock,12,3.65,1999,110.07,False
158,2,68,60.73,60.73,0.0,Low Stock,5,3.69,7662,56.21,False
159,2,69,70.44,70.44,0.0,In Stock,11,3.61,1168,54.48,False
160,2,70,62.75,62.75,0.0,In Stock,476,4.2,7873,122.46,False
161,2,71,60.36,60.36,0.0,In Stock,461,4.18,2739,82.85,False
162,2,72,56.79,56.79,0.0,In Stock,248,4.3,3914,13.96,False
163,2,73,63.95,63.95,0.0,In Stock,282,4.1,3786,11.93,False
164,2,74,41.1,62.5,34.24,In Stock,306,4.0,5071,7.0,True
165,2,75,64.29,64.29,0.0,Low Stock,3,3.64,2966,117.01,False
166,2,76,60.36,60.36,0.0,In Stock,105,4.17,4349,122.03,False
167,2,77,71.64,71.64,0.0,In Stock,42,4.29,7637,41.09,False
168,2,78,61.06,61.06,0.0,In Stock,498,4.07,3614,122.04,False
169,2,79,67.12,67.12,0.0,In Stock,24,3.63,3190,79.14,False
170,2,80,65.98,65.98,0.0,In Stock,82,3.69,4379,86.91,False
171,2,81,73.27,73.27,0.0,In Stock,190,3.68,1372,115.96,False
172,2,82,60.51,60.51,0.0,In Stock,214,4.25,1334,62.66,False
173,2,83,64.98,64.98,0.0,Low Stock,17,3.86,3886,130.54,False
174,2,84,72.87,72.87,0.0,In Stock,201,4.09,5221,120.85,False
175,2,85,61.92,61.92,0.0,In Stock,493,4.23,2025,11.69,False
176,2,86,50.75,63.75,20.4,In Stock,90,4.19,1629,101.57,True
177,2,87,62.43,62.43,0.0,Low Stock,11,3.87,589,65.03,False
178,2,88,63.55,63.55,0.0,Out of Stock,5,3.88,2066,107.98,False
179,2,89,64.35,64.35,0.0,In Stock,418,4.0,5213,45.74,False
180,2,90,67.0,67.0,0.0,In Stock,98,3.71,7860,76.27,False
181,3,1,25.0,25.0,0.0,In Stock,77,3.66,4968,129.88,False
182,3,2,24.92,24.92,0.0,In Stock,362,4.04,4857,43.11,False
183,3,3,23.63,23.63,0.0,In Stock,184,3.78,7045,42.31,False
184,3,4,26.6,26.6,0.0,In Stock,212,4.04,6016,36.85,False
185,3,5,24.17,24.17,0.0,In Stock,442,4.14,1444,40.51,False
186,3,6,16.2,28.16,42.47,Low Stock,6,4.16,6872,87.73,True
187,3,7,24.05,24.05,0.0,Low Stock,11,4.27,1379,116.03,False
188,3,8,23.52,23.52,0.0,In Stock,142,4.28,7381,83.52,False
189,3,9,25.18,25.18,0.0,In Stock,66,4.29,6468,27.34,False
190,3,10,20.13,24.32,17.22,In Stock,35,4.18,7123,62.22,False
191,3,11,29.1,29.1,0.0,Low Stock,19,3.84,2117,117.5,False
192,3,12,26.11,26.11,0.0,Pre-Order,15,3.76,3873,70.8,False
193,3,13,27.09,27.09,0.0,In Stock,205,4.15,2331,51.18,False
194,3,14,24.76,24.76,0.0,In Stock,123,3.98,3855,109.75,False
195,3,15,24.65,24.65,0.0,Out of Stock,1,3.72,6855,45.65,False
196,3,16,24.79,24.79,0.0,In Stock,369,3.93,1505,13.88,False
197,3,17,18.01,25.25,28.68,In Stock,261,3.75,2935,26.99,True
198,3,18,24.36,24.36,0.0,In Stock,184,4.23,2535,119.63,False
199,3,19,28.46,28.46,0.0,In Stock,262,4.1,2028,95.69,False
200,3,20,27.09,27.09,0.0,In Stock,10,3.94,2589,110.95,False
201,3,21,29.02,29.02,0.0,Pre-Order,0,3.7,439,68.55,False
202,3,22,25.65,25.65,0.0,In Stock,184,3.76,7225,60.14,False
203,3,23,26.86,26.86,0.0,In Stock,202,4.21,5612,74.69,False
204,3,24,28.22,28.22,0.0,In Stock,428,4.02,4817,23.3,False
205,3,25,25.42,25.42,0.0,Low Stock,2,3.89,2356,56.11,False
206,3,26,27.7,27.7,0.0,Pre-Order,7,4.26,3061,42.21,False
207,3,27,28.53,28.53,0.0,Low Stock,4,3.69,235,33.7,False
208,3,28,25.19,25.19,0.0,Low Stock,8,4.06,1551,68.71,False
209,3,29,24.83,24.83,0.0,In Stock,471,3.75,2411,76.07,False
210,3,30,24.54,24.54,0.0,In Stock,185,3.76,1975,45.33,False
211,3,31,26.43,26.43,0.0,Low Stock,12,4.18,1016,64.72,False
212,3,32,27.08,27.08,0.0,In Stock,477,3.86,161,27.2,False
213,3,33,23.1,23.1,0.0,In Stock,187,4.08,4135,38.18,False
214,3,34,24.29,24.29,0.0,In Stock,170,4.06,4142,38.4,False
215,3,35,26.36,26.36,0.0,In Stock,457,3.92,4526,32.48,False
216,3,36,21.55,21.55,0.0,Out of Stock,7,4.02,4231,11.42,False
217,3,37,21.28,21.28,0.0,In Stock,137,3.69,5512,63.71,False
218,3,38,25.77,25.77,0.0,In Stock,374,3.92,5232,21.18,False
219,3,39,13.94,24.76,43.72,In Stock,109,4.14,1778,69.92,True
220,3,40,26.64,26.64,0.0,Low Stock,4,3.75,6238,15.66,False
221,3,41,25.92,25.92,0.0,In Stock,18,4.14,1242,121.78,False
222,3,42,24.3,24.3,0.0,In Stock,350,3.93,2567,18.9,False
223,3,43,21.87,21.87,0.0,In Stock,437,3.68,1075,23.87,False
224,3,44,19.85,25.92,23.4,Low Stock,13,3.97,5617,82.5,True
225,3,45,25.59,25.59,0.0,In Stock,200,3.72,7950,94.06,False
226,3,46,26.74,26.74,0.0,In Stock,126,3.65,2463,144.32,False
227,3,47,27.32,27.32,0.0,Low Stock,15,4.17,1300,97.76,False
228,3,48,25.61,25.61,0.0,In Stock,201,3.81,7918,135.79,False
229,3,49,21.15,27.18,22.21,Pre-Order,13,3.79,7470,93.18,True
230,3,50,24.02,24.02,0.0,In Stock,55,3.73,1381,135.91,False
231,3,51,21.98,21.98,0.0,Out of Stock,12,4.09,3335,31.91,False
232,3,52,26.24,26.24,0.0,In Stock,377,3.76,606,66.97,False
233,3,53,28.03,28.03,0.0,In Stock,18,4.24,1742,53.15,False
234,3,54,28.31,28.31,0.0,Low Stock,5,4.26,6982,36.63,False
235,3,55,25.43,25.43,0.0,In Stock,370,4.09,2215,68.56,False
236,3,56,23.48,23.48,0.0,Low Stock,19,3.92,6628,129.99,False
237,3,57,22.5,22.5,0.0,In Stock,413,4.02,7230,70.15,False
238,3,58,23.74,23.74,0.0,In Stock,329,4.16,1911,74.69,False
239,3,59,24.02,24.02,0.0,Out of Stock,20,3.7,2672,58.93,False
240,3,60,25.45,25.45,0.0,In Stock,304,4.14,7077,102.01,False
241,3,61,23.64,23.64,0.0,In Stock,70,4.21,4295,15.0,False
242,3,62,26.51,26.51,0.0,Out of Stock,6,3.7,1476,76.62,False
243,3,63,26.69,26.69,0.0,Out of Stock,7,3.78,4484,70.58,False
244,3,64,22.67,22.67,0.0,In Stock,102,4.11,5396,86.9,False
245,3,65,23.9,23.9,0.0,In Stock,382,4.17,4139,99.46,False
246,3,66,25.43,25.43,0.0,In Stock,61,3.87,6937,135.67,False
247,3,67,23.8,23.8,0.0,Low Stock,4,3.99,3195,149.65,False
248,3,68,24.35,24.35,0.0,In Stock,69,3.65,4352,40.44,False
249,3,69,22.89,22.89,0.0,Low Stock,20,3.8,2155,42.09,False
250,3,70,25.58,25.58,0.0,In Stock,277,3.89,962,90.67,False
251,3,71,23.89,23.89,0.0,In Stock,459,3.7,5721,6.8,False
252,3,72,22.55,22.55,0.0,Low Stock,19,3.77,1885,55.05,False
253,3,73,26.02,26.02,0.0,In Stock,418,3.64,2999,36.03,False
254,3,74,24.27,24.27,0.0,In Stock,360,4.11,5816,29.16,False
255,3,75,23.53,23.53,0.0,In Stock,123,3.96,3661,100.77,False
256,3,76,22.17,22.17,0.0,In Stock,378,4.25,5929,141.02,False
257,3,77,14.24,23.51,39.43,In Stock,302,3.98,808,43.67,True
258,3,78,24.67,24.67,0.0,In Stock,354,3.84,4805,53.67,False
259,3,79,21.37,21.37,0.0,In Stock,180,3.89,4532,81.92,False
260,3,80,23.5,23.5,0.0,In Stock,271,4.25,4645,94.79,False
261,3,81,25.1,25.1,0.0,Low Stock,2,3.97,4239,149.2,False
262,3,82,23.15,23.15,0.0,In Stock,198,3.93,6148,44.85,False
263,3,83,25.28,25.28,0.0,In Stock,253,4.1,7747,124.12,False
264,3,84,26.04,26.04,0.0,In Stock,155,4.19,4088,105.06,False
265,3,85,22.52,22.52,0.0,Pre-Order,14,4.1,2566,90.39,False
266,3,86,23.9,23.9,0.0,In Stock,494,3.89,2759,27.14,False
267,3,87,23.76,23.76,0.0,In Stock,125,3.91,2197,26.3,False
268,3,88,23.07,23.07,0.0,Out of Stock,8,3.77,3713,21.53,False
269,3,89,25.15,25.15,0.0,In Stock,159,3.81,7097,88.2,False
270,3,90,24.3,24.3,0.0,In Stock,217,4.13,1616,127.52,False
271,4,1,88.75,88.75,0.0,In Stock,319,4.29,7570,133.41,False
272,4,2,93.08,93.08,0.0,In Stock,113,3.63,3147,63.54,False
273,4,3,88.98,88.98,0.0,In Stock,124,3.71,2671,117.45,False
274,4,4,91.36,91.36,0.0,In Stock,60,3.82,4201,114.33,False
275,4,5,89.29,89.29,0.0,In Stock,376,3.82,2825,6.11,False
276,4,6,96.47,96.47,0.0,In Stock,144,4.22,2479,73.63,False
277,4,7,51.19,91.23,43.89,In Stock,387,3.93,4660,145.11,True
278,4,8,91.18,91.18,0.0,Out of Stock,12,3.74,2912,124.99,False
279,4,9,98.95,98.95,0.0,In Stock,244,3.96,7127,8.95,False
280,4,10,108.8,108.8,0.0,In Stock,134,4.2,3510,105.26,False
281,4,11,105.67,105.67,0.0,In Stock,320,4.24,1201,5.9,False
282,4,12,104.9,104.9,0.0,In Stock,111,3.87,1746,56.34,False
283,4,13,91.33,91.33,0.0,In Stock,121,3.62,3649,16.4,False
284,4,14,80.74,107.05,24.58,In Stock,245,4.03,6538,113.0,True
285,4,15,100.14,100.14,0.0,In Stock,488,3.66,2539,48.98,False
286,4,16,86.06,86.06,0.0,In Stock,398,3.95,7686,81.22,False
287,4,17,92.7,92.7,0.0,In Stock,350,3.85,4875,30.61,False
288,4,18,93.3,93.3,0.0,Low Stock,12,3.76,5697,23.48,False
289,4,19,92.48,92.48,0.0,In Stock,441,3.73,512,61.61,False
290,4,20,109.37,109.37,0.0,In Stock,292,4.1,2263,148.29,False
291,4,21,95.68,95.68,0.0,In Stock,358,3.89,632,16.35,False
292,4,22,90.87,90.87,0.0,In Stock,92,4.1,6869,143.47,False
293,4,23,87.61,87.61,0.0,Out of Stock,1,4.01,727,80.19,False
294,4,24,92.68,92.68,0.0,Low Stock,9,3.74,6385,92.02,False
295,4,25,99.69,99.69,0.0,In Stock,80,3.92,4465,7.31,False
296,4,26,100.19,100.19,0.0,In Stock,173,4.23,7278,73.78,False
297,4,27,61.85,98.07,36.93,In Stock,50,4.0,2120,119.14,True
298,4,28,110.84,110.84,0.0,In Stock,61,3.65,130,147.71,False
299,4,29,86.2,86.2,0.0,Low Stock,8,4.03,749,108.45,False
300,4,30,58.24,103.54,43.75,In Stock,41,3.61,559,87.16,True
301,4,31,100.22,100.22,0.0,In Stock,285,4.26,5514,74.55,False
302,4,32,93.21,93.21,0.0,In Stock,89,3.85,829,47.72,False
303,4,33,101.43,101.43,0.0,In Stock,230,3.81,6895,107.69,False
304,4,34,100.03,100.03,0.0,Low Stock,0,4.05,670,54.0,False
305,4,35,102.78,102.78,0.0,In Stock,490,3.74,1405,128.71,False
306,4,36,82.99,82.99,0.0,In Stock,474,4.22,996,74.77,False
307,4,37,96.3,96.3,0.0,In Stock,304,4.25,1620,139.63,False
308,4,38,101.57,101.57,0.0,In Stock,463,4.09,1330,7.61,False
309,4,39,87.89,87.89,0.0,In Stock,290,4.09,291,74.51,False
310,4,40,62.46,103.56,39.69,In Stock,483,4.26,5299,14.94,True
311,4,41,100.85,100.85,0.0,In Stock,435,3.67,5179,74.85,False
312,4,42,96.09,96.09,0.0,In Stock,79,4.3,7319,44.74,False
313,4,43,81.0,81.0,0.0,In Stock,482,3.88,963,96.76,False
314,4,44,82.64,82.64,0.0,Low Stock,10,3.98,522,66.3,False
315,4,45,95.56,95.56,0.0,Out of Stock,6,3.81,3522,99.61,False
316,4,46,86.93,86.93,0.0,In Stock,414,3.87,4366,19.06,False
317,4,47,88.34,88.34,0.0,In Stock,358,4.02,3761,44.66,False
318,4,48,104.19,104.19,0.0,In Stock,468,3.89,6679,125.06,False
319,4,49,90.9,90.9,0.0,Low Stock,17,4.28,7383,129.73,False
320,4,50,85.78,85.78,0.0,Low Stock,3,3.74,1647,91.26,False
321,4,51,90.38,90.38,0.0,In Stock,307,4.11,237,121.03,False
322,4,52,104.47,104.47,0.0,In Stock,100,3.92,6655,44.36,False
323,4,53,102.82,102.82,0.0,In Stock,407,3.85,5052,20.91,False
324,4,54,96.55,96.55,0.0,In Stock,45,4.24,2376,8.79,False
325,4,55,92.65,92.65,0.0,In Stock,323,3.96,3012,50.34,False
326,4,56,95.1,95.1,0.0,Low Stock,11,3.62,7987,100.21,False
327,4,57,88.41,88.41,0.0,In Stock,423,4.18,3666,71.21,False
328,4,58,63.78,92.43,31.0,In Stock,196,3.8,3734,31.46,True
329,4,59,97.26,97.26,0.0,In Stock,406,3.78,6383,104.35,False
330,4,60,92.05,92.05,0.0,Low Stock,18,4.15,6408,118.49,False
331,4,61,90.54,90.54,0.0,Pre-Order,18,3.98,6296,147.17,False
332,4,62,91.93,91.93,0.0,In Stock,129,4.07,641,53.24,False
333,4,63,91.44,91.44,0.0,In Stock,141,4.08,7955,49.08,False
334,4,64,84.28,84.28,0.0,In Stock,177,3.66,1699,27.79,False
335,4,65,92.41,92.41,0.0,In Stock,109,3.86,2142,85.88,False
336,4,66,92.58,92.58,0.0,Low Stock,6,3.81,7822,61.25,False
337,4,67,81.84,81.84,0.0,Low Stock,4,3.61,7140,94.27,False
338,4,68,82.23,82.23,0.0,In Stock,303,3.68,4470,66.5,False
339,4,69,92.01,92.01,0.0,In Stock,25,3.63,1968,120.31,False
340,4,70,95.03,95.03,0.0,In Stock,332,3.64,3665,36.12,False
341,4,71,82.23,82.23,0.0,In Stock,251,3.8,1473,6.73,False
342,4,72,81.02,81.02,0.0,In Stock,438,3.94,4194,88.42,False
343,4,73,97.29,97.29,0.0,In Stock,64,3.95,7553,137.33,False
344,4,74,92.67,92.67,0.0,In Stock,212,4.16,2453,137.46,False
345,4,75,86.46,86.46,0.0,In Stock,188,3.93,1383,39.22,False
346,4,76,91.38,91.38,0.0,In Stock,307,4.25,1376,131.87,False
347,4,77,88.99,88.99,0.0,In Stock,333,3.87,4484,43.63,False
348,4,78,86.12,86.12,0.0,In Stock,436,3.64,2663,148.15,False
349,4,79,77.07,77.07,0.0,In Stock,206,4.08,3207,110.83,False
350,4,80,93.9,93.9,0.0,In Stock,146,3.68,3636,142.18,False
351,4,81,85.37,85.37,0.0,Out of Stock,14,3.62,7924,93.96,False
352,4,82,56.15,85.56,34.37,In Stock,325,3.62,6805,97.55,True
353,4,83,83.11,83.11,0.0,In Stock,415,4.18,636,16.47,False
354,4,84,96.43,96.43,0.0,In Stock,325,3.63,7878,53.23,False
355,4,85,86.18,86.18,0.0,In Stock,434,3.69,3554,101.54,False
356,4,86,78.52,78.52,0.0,Out of Stock,7,3.75,6091,35.15,False
357,4,87,97.75,97.75,0.0,In Stock,381,4.28,2434,8.51,False
358,4,88,93.29,93.29,0.0,In Stock,231,4.16,5834,59.17,False
359,4,89,93.74,93.74,0.0,In Stock,417,4.22,4942,44.42,False
360,4,90,84.4,84.4,0.0,Pre-Order,10,3.95,2118,87.48,False
361,5,1,34.49,34.49,0.0,In Stock,388,4.04,2182,137.83,False
362,5,2,29.07,29.07,0.0,Low Stock,12,3.91,6423,51.76,False
363,5,3,36.0,36.0,0.0,In Stock,491,4.25,3893,94.13,False
